Delta-AY.119,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10
0.2531348,0.2442483,0.2326542,0.1905726,0.204547,0.1967869,0.1956465,0.1869351,0.2256148,0.2421922,0.2049937
0.2751905,0.2468494,0.2372088,0.1916763,0.2169213,0.1926857,0.1945498,0.1868074,0.2216195,0.2514069,0.2121263
0.2555619,0.2673521,0.2291929,0.1971747,0.2218814,0.1983528,0.1950834,0.186764,0.239922,0.2779681,0.2187305
0.2704586,0.2763844,0.2560963,0.1984973,0.2198217,0.2093884,0.2100091,0.1798265,0.2444901,0.2597194,0.2071533
0.2709288,0.2396819,0.2777188,0.218275,0.2023659,0.1836091,0.2069077,0.1751979,0.2215567,0.2814546,0.196163
0.2560781,0.2463279,0.249601,0.2228639,0.2147284,0.2015239,0.2184962,0.1764366,0.2043012,0.2797037,0.2134335
0.2611218,0.2594708,0.2415623,0.2266217,0.2064937,0.216278,0.2261313,0.1923274,0.2201136,0.2709091,0.2105562
0.2697547,0.2784106,0.2539482,0.2334526,0.2063591,0.1975317,0.2221021,0.1973115,0.2426718,0.2829465,0.1955918
0.2825891,0.2894766,0.242537,0.2307819,0.2260713,0.2119088,0.2260348,0.1930601,0.2222099,0.2888848,0.198258
0.2611092,0.2781756,0.2377352,0.2392657,0.2409978,0.1984846,0.2249189,0.1915254,0.2426795,0.3029746,0.2001286
0.2510167,0.2844585,0.2446988,0.2526723,0.2463837,0.2035301,0.2227917,0.1929104,0.2164744,0.2898011,0.2053072
0.2534456,0.268867,0.2432312,0.2451241,0.2253138,0.2007163,0.231462,0.1881287,0.229088,0.3166033,0.2025328
0.2465811,0.284367,0.2136074,0.240141,0.2249118,0.2063979,0.234748,0.1869602,0.2367162,0.3212766,0.1962235
0.2586179,0.2778923,0.2442578,0.2437926,0.2278636,0.2011424,0.2324099,0.1778115,0.2194087,0.3190008,0.1982941
0.2376282,0.2867861,0.2357434,0.2292213,0.2423801,0.1955059,0.2375753,0.1962162,0.2255957,0.3360306,0.2004823
0.2546413,0.2728227,0.2331174,0.2524752,0.2299671,0.1943312,0.2331791,0.193675,0.2180833,0.3211513,0.2125245
0.2475776,0.2955942,0.2331053,0.2467722,0.2432544,0.195063,0.241777,0.1854141,0.2185772,0.3390303,0.2294158
0.2614038,0.2885168,0.2366219,0.2282621,0.2332174,0.2050154,0.2211507,0.1745969,0.2249329,0.3396236,0.2345449
0.2652672,0.2878604,0.2453078,0.2248089,0.2299328,0.2098308,0.2423232,0.1877069,0.219942,0.3290207,0.2193804
0.2772022,0.2865382,0.2506026,0.2212875,0.2155749,0.2118525,0.2411477,0.1887135,0.2208965,0.3249022,0.207208
0.2691625,0.2882302,0.2465455,0.2273753,0.2228049,0.2121219,0.2612225,0.1891043,0.2337989,0.3147912,0.2109013
0.2720875,0.2953491,0.233329,0.2166058,0.2273762,0.2208946,0.2393771,0.1897507,0.2365119,0.3183587,0.2148935
0.2886476,0.3033327,0.2548494,0.2164227,0.2227759,0.2109515,0.2512258,0.2027572,0.231538,0.2966087,0.2134218
0.2871381,0.3097328,0.2511631,0.2184106,0.2306357,0.203742,0.2388395,0.2051703,0.2293401,0.2962661,0.2135395
0.2723989,0.2965668,0.2471787,0.2210851,0.2316929,0.2175765,0.2193709,0.2058623,0.2347846,0.302871,0.2031818
0.2644371,0.299182,0.2524606,0.2409047,0.2333467,0.2050065,0.2234373,0.1982412,0.2274126,0.283867,0.2052444
0.2892928,0.3026444,0.2434199,0.2391106,0.2505636,0.1959382,0.2142905,0.1910283,0.2251799,0.2840317,0.2254625
0.2721782,0.2982884,0.2586147,0.2390404,0.2483755,0.194233,0.2177426,0.191894,0.2214687,0.2668191,0.2195967
0.269274,0.2852584,0.2533763,0.2468944,0.2413445,0.1816768,0.2179654,0.1906309,0.2172558,0.2817116,0.2162905
0.2595625,0.2997857,0.2708936,0.2367686,0.2564996,0.1948497,0.2194289,0.2096687,0.2101972,0.2651426,0.2251883
0.2735569,0.2958104,0.2586322,0.2347581,0.2524632,0.1988734,0.2210333,0.1932961,0.2063688,0.2893896,0.2346525
0.2863073,0.3155697,0.2613809,0.2486773,0.2453098,0.1987613,0.2323496,0.2007665,0.211634,0.2813163,0.2106009
0.2973245,0.294048,0.2610778,0.2401341,0.2340836,0.1971093,0.2272696,0.1948588,0.2281364,0.2807,0.2151078
0.2856305,0.3004611,0.2661763,0.2378418,0.2396445,0.1989862,0.221262,0.1887122,0.2166164,0.2720375,0.2276371
0.3037857,0.3020156,0.2501557,0.2424099,0.2500931,0.2080493,0.2313466,0.1996159,0.218064,0.290671,0.220066
0.3058222,0.3028278,0.2631024,0.2477115,0.2638578,0.2116171,0.225369,0.2019253,0.2200682,0.3005081,0.2148034
0.3147405,0.3026369,0.2462131,0.2477584,0.2541377,0.2146691,0.229411,0.1985733,0.223757,0.3028464,0.2180391
0.3146455,0.3112327,0.2501085,0.2461155,0.2601214,0.1987707,0.2378261,0.2035478,0.218199,0.3045984,0.2427076
0.3087752,0.3115868,0.257585,0.2634015,0.2761282,0.1925758,0.2323602,0.200674,0.2068553,0.2766638,0.2382831
0.3201045,0.3180248,0.2366494,0.2534926,0.2551872,0.1985226,0.2280227,0.2019556,0.2150681,0.2975554,0.2595974
0.3126056,0.3191411,0.2458086,0.2610584,0.2672526,0.1872279,0.2246113,0.1948121,0.2111108,0.2893102,0.2658431
0.3104588,0.3073965,0.2592851,0.2546872,0.2522756,0.1965722,0.2321159,0.1925937,0.2154116,0.2983319,0.2507994
0.3214147,0.3063562,0.2610907,0.2567203,0.2682456,0.198161,0.227349,0.2042557,0.1963739,0.2875604,0.2513056
0.3135414,0.2852795,0.2635333,0.2427109,0.2625697,0.1950584,0.2440074,0.2024167,0.2051663,0.3166689,0.2519157
0.3135951,0.283373,0.2590757,0.2432446,0.2453376,0.1911909,0.2313618,0.2071795,0.2097377,0.3047105,0.2622612
0.3110163,0.2811306,0.2543197,0.2443155,0.253019,0.2005037,0.2446903,0.1893897,0.2136967,0.3052408,0.2753793
0.2933814,0.2816085,0.2442677,0.247015,0.260986,0.2007718,0.2426701,0.1918332,0.2103544,0.3040488,0.2530558
0.3039958,0.2918907,0.2486967,0.2524266,0.2691269,0.1966652,0.2374269,0.2020291,0.2176422,0.3205938,0.258029
0.3118139,0.2893577,0.2602797,0.2509314,0.2611519,0.2011084,0.2395455,0.2065646,0.2218601,0.2968038,0.2585363
0.3083774,0.2773937,0.2617061,0.2630076,0.2568897,0.2039433,0.2342781,0.2070636,0.2378805,0.2920668,0.2502255
0.3082206,0.2892171,0.2650564,0.2795437,0.2610658,0.2230235,0.2571348,0.2057836,0.2308379,0.2866375,0.2496037
0.3113922,0.2845078,0.2625954,0.2597123,0.2680088,0.2172817,0.2479728,0.2069208,0.2534159,0.3083566,0.2311103
0.3165421,0.2739041,0.2639468,0.2604881,0.2743338,0.2231543,0.2500567,0.200887,0.2436414,0.3002669,0.2460578
0.3230804,0.2846927,0.2687238,0.2551828,0.302352,0.2222876,0.2352053,0.215593,0.2529965,0.3014318,0.2573121
0.3259426,0.2645702,0.2464712,0.2549405,0.2827744,0.2250174,0.2478346,0.2054793,0.2389058,0.2918072,0.2442862
0.3335071,0.2754147,0.245239,0.2444222,0.2797415,0.2220123,0.2501743,0.214829,0.2379314,0.2974485,0.2448712
0.3241542,0.2867721,0.2664918,0.2454171,0.2726313,0.2043096,0.2431503,0.2113079,0.2599512,0.2913041,0.238818
0.3338504,0.2883319,0.2691502,0.2368886,0.2924904,0.2103024,0.2525696,0.2129082,0.2344718,0.2868647,0.2387465
0.3131893,0.2725862,0.2676366,0.240575,0.294203,0.2097031,0.2486499,0.2015752,0.2375651,0.2770567,0.2498452
0.3022136,0.2724203,0.2886116,0.2333892,0.2989442,0.2437489,0.2428862,0.1999795,0.2299072,0.2829278,0.2534582
0.3155299,0.2868462,0.2942038,0.2323976,0.2932356,0.2085179,0.2253989,0.2034887,0.2288395,0.2819823,0.2511334
0.3034167,0.287537,0.3068916,0.23814,0.2890715,0.2040955,0.244062,0.1976954,0.2421338,0.2822611,0.2589889
0.307125,0.2861829,0.3010491,0.23762,0.2998978,0.1990754,0.2467968,0.1977922,0.2472651,0.2889767,0.2660824
