Delta-AY.119,Isolate 2,Isolate 1,Isolate 3,Isolate 4
0.3131893,0.2725862,0.294203,0.2946706,0.2472424
0.3022136,0.2724203,0.2989442,0.3114122,0.2498386
0.3155299,0.2868462,0.2932356,0.3016216,0.2654388
0.3034167,0.287537,0.2890715,0.3353285,0.2365075
0.307125,0.2861829,0.2998978,0.3238971,0.2460655
0.3013457,0.2886182,0.3093736,0.317117,0.2403052
0.3251946,0.2876209,0.2990406,0.2956167,0.2399554
0.2978548,0.2833483,0.3166934,0.2966098,0.2312524
0.31061,0.2972278,0.3180373,0.2818794,0.2401946
0.3106233,0.2906752,0.296543,0.2861517,0.2410473
0.3286226,0.2827591,0.3040701,0.2988779,0.2514155
0.3176011,0.2821914,0.329838,0.3081261,0.2517577
0.3220938,0.2992311,0.3117419,0.3180949,0.2564083
0.3496709,0.291514,0.3153313,0.3291577,0.2630585
0.3497469,0.2945937,0.3072638,0.3235476,0.2688354
0.3390021,0.2990663,0.3089371,0.3086948,0.2456372
0.3508222,0.3081403,0.3062274,0.3121069,0.2431014
0.3513567,0.3182485,0.3160929,0.2962304,0.2680327
0.3803115,0.3143021,0.2901054,0.2963521,0.2482402
0.3686986,0.3332435,0.3101147,0.2941284,0.2496519
0.368338,0.3243728,0.302273,0.2967296,0.2443194
0.3546868,0.3145619,0.3350317,0.2864446,0.2369809
0.3500268,0.3153213,0.3413929,0.3009462,0.2471227
0.3943181,0.3160615,0.342576,0.2915039,0.2455262
0.4050255,0.2984478,0.3367889,0.2734536,0.2399832
0.4092372,0.2924919,0.3256713,0.2801369,0.2368749
0.4143547,0.2903892,0.3185332,0.2928414,0.2438252
0.4285726,0.3116143,0.3050972,0.2913822,0.2600982
0.402088,0.2982957,0.3092844,0.2817741,0.2508764
0.4048096,0.2962848,0.3183082,0.3080399,0.2496001
0.4121142,0.319897,0.3259144,0.3204043,0.2503099
0.4099654,0.3200006,0.3111752,0.3069421,0.2526622
0.400572,0.3143958,0.3176098,0.3054025,0.2553242
0.3890303,0.3089516,0.3215739,0.2949831,0.2592734
0.3913703,0.2862992,0.3265213,0.2939229,0.273605
0.3758751,0.311964,0.3070432,0.2904603,0.2511528
0.3684324,0.3083549,0.2934457,0.2743039,0.2573501
0.3668349,0.3359679,0.3145825,0.2889167,0.2542978
0.3621397,0.3311849,0.326345,0.2817272,0.260398
0.3716067,0.3345416,0.3171369,0.2956096,0.2575826
0.3906383,0.3168414,0.3046259,0.2904041,0.2410353
0.3790625,0.3294214,0.2932009,0.2993477,0.2435687
0.383756,0.3177735,0.3033511,0.2852211,0.2495583
0.3864114,0.3323813,0.3019993,0.2865667,0.2647443
0.3786315,0.3241335,0.3097703,0.286173,0.2571476
0.3621559,0.2990535,0.3102239,0.2804524,0.2546448
0.3763629,0.3287533,0.3105979,0.269287,0.2512741
0.3708562,0.3113081,0.318631,0.2822474,0.25846
0.365353,0.3210655,0.3150234,0.280687,0.2494393
0.3624324,0.3132229,0.3386855,0.285873,0.2564175
0.3689623,0.30954,0.3259039,0.2875139,0.2575839
0.3816381,0.3180423,0.3028576,0.2863484,0.265924
0.3945154,0.3083684,0.3039863,0.280374,0.251108
0.4024147,0.3093636,0.2893867,0.2937755,0.2544126
0.4051429,0.2905748,0.2816298,0.2787227,0.266922
0.3858339,0.3161075,0.2977291,0.3040215,0.2692738
0.3980181,0.2953649,0.2978776,0.2874496,0.2644332
0.3897482,0.2982188,0.3173072,0.2845344,0.2685872
0.3997131,0.2984053,0.325952,0.286619,0.2800713
0.3913149,0.3002632,0.3227509,0.2880251,0.2703681
0.3941322,0.2862383,0.3255243,0.2715895,0.256776
0.3813739,0.2913137,0.3014346,0.2720895,0.2793793
0.3866438,0.2955714,0.2913163,0.2704056,0.2581434
0.3758926,0.3111183,0.2994523,0.284727,0.2587057
0.3830501,0.2997949,0.3018174,0.2880539,0.2615013
0.3982892,0.2867892,0.3129332,0.3099095,0.2704366
0.3803774,0.3070107,0.3135671,0.3083549,0.2691987
0.3630351,0.3063717,0.3118055,0.3056491,0.2769208
0.37601,0.3268202,0.3309436,0.2919352,0.2658321
0.3821049,0.3222233,0.3083466,0.3122314,0.2511501
0.3942329,0.3114462,0.3246572,0.3120559,0.2560799
0.3891822,0.3035496,0.3208371,0.3217729,0.2537833
0.4067315,0.3079198,0.3338781,0.3066875,0.2411679
0.4200411,0.3081408,0.3326866,0.2936696,0.2506627
0.4213518,0.3168959,0.3329984,0.3045847,0.2372993
0.4247276,0.3036284,0.3340989,0.279772,0.2474528
0.4155823,0.3072005,0.2967261,0.28009,0.2664868
0.4127234,0.2955041,0.309947,0.2936945,0.2530243
0.4256249,0.317465,0.2942717,0.2933049,0.2588683
0.4132757,0.2973826,0.2850333,0.2783012,0.2498975
0.4344172,0.2977979,0.2682566,0.2557878,0.2594491
0.4000658,0.2987237,0.3122162,0.2716908,0.2743315
0.4193084,0.2873962,0.280988,0.2652108,0.2729072
0.4264361,0.286713,0.3153346,0.2635608,0.2661747
0.4338258,0.3039607,0.3025516,0.2816194,0.2793609
0.4334228,0.2958274,0.2890007,0.2665729,0.2745498
0.4684165,0.2724676,0.2908756,0.2605338,0.2733611
0.4760981,0.2784644,0.2914846,0.2636991,0.2883209
0.4817518,0.2833623,0.292136,0.262597,0.3015096
0.4674131,0.2863144,0.2765565,0.2675031,0.296742
0.428388,0.3050833,0.2856409,0.2794311,0.3051659
0.4474533,0.3141688,0.2825753,0.2708217,0.3107291
0.4543147,0.3014766,0.2897208,0.2759382,0.3084921
0.4408275,0.2971198,0.2790176,0.2714244,0.3096097
0.4066229,0.3024507,0.2872409,0.2841388,0.3111406
0.4143704,0.2944272,0.2811528,0.2822231,0.3112788
0.4068266,0.3104535,0.283814,0.2714863,0.3156157
0.4310205,0.3139941,0.3087763,0.2532116,0.3056958
0.4412125,0.3074335,0.3104923,0.2564967,0.3114941
0.4447386,0.3003855,0.2988661,0.2601203,0.3223037
0.4393829,0.3175983,0.2817057,0.2789565,0.3047248
0.4513626,0.3136167,0.282654,0.2767764,0.2995651
0.4574569,0.3246462,0.287597,0.2673326,0.3115887
0.4496543,0.3204764,0.2953974,0.2669586,0.3170433
0.4417365,0.3138581,0.2826243,0.264832,0.3021713
0.4499032,0.2983071,0.2942609,0.2633653,0.3230828
0.4552391,0.2962396,0.2934149,0.273284,0.3277348
0.4554959,0.3026155,0.3066469,0.2566196,0.3177885
0.46056,0.3009058,0.3023506,0.2475612,0.3134781
0.4617266,0.3227724,0.2967104,0.2606654,0.3214911
0.480169,0.3258969,0.3027172,0.2763753,0.3262239
0.4862364,0.3370784,0.3118767,0.2729761,0.3104132
0.4731842,0.3444373,0.2971931,0.2809088,0.2965795
0.4791006,0.3281656,0.3145756,0.2725678,0.2862651
0.4701606,0.3204236,0.2957228,0.2806872,0.3018311
0.451919,0.3302357,0.2963759,0.2672452,0.3144605
0.4489966,0.3260665,0.3001477,0.2750177,0.3257441
0.4452494,0.3345518,0.293946,0.2666665,0.3120202
0.4442447,0.3445365,0.2963904,0.2743575,0.2888812
0.4410366,0.3342379,0.2967218,0.2572536,0.2933283
0.4431266,0.3487103,0.30862,0.275001,0.299033
0.4489082,0.3403808,0.3075419,0.2732929,0.3104644
