Delta-AY.119,Isolate 2,Isolate 1,Isolate 3,Isolate 4
0.3015306,0.5872602,0.5660621,0.4119442,0.5062501
0.3100955,0.5742946,0.5696936,0.4457196,0.5311301
0.3150171,0.5520166,0.5645326,0.4557765,0.5288096
0.3207154,0.5899263,0.5431461,0.463107,0.5315568
0.3148315,0.5941299,0.5355831,0.4755144,0.5433322
0.3195955,0.5998925,0.5189496,0.4759005,0.5540647
0.3104429,0.6102903,0.5180078,0.4783865,0.5661169
0.3278608,0.6181181,0.5023761,0.4867674,0.567346
0.3026391,0.6214548,0.4819735,0.4648865,0.5704029
0.3004785,0.5985374,0.4563397,0.4968359,0.5618954
0.3073221,0.5976464,0.4794195,0.4790224,0.5803995
0.3107427,0.595918,0.486931,0.4597851,0.5791446
0.3208039,0.5913571,0.4830625,0.4798318,0.5735525
0.3249398,0.5585316,0.473817,0.472413,0.5718213
0.3166707,0.5842083,0.4801747,0.4852461,0.5920462
0.2989924,0.5810155,0.4808702,0.4959888,0.5760338
0.326837,0.5691239,0.507661,0.509262,0.6030632
0.3149381,0.5814982,0.5172795,0.5080688,0.6020537
0.3051275,0.5392099,0.4783373,0.5086457,0.6307921
0.2995596,0.5291392,0.4887004,0.488852,0.6188288
0.3122526,0.5224974,0.4738731,0.4892481,0.5933318
0.2952853,0.5321918,0.4799986,0.5077356,0.5700424
0.301833,0.5192837,0.479527,0.500604,0.5627979
0.2920094,0.5310347,0.4938205,0.5173019,0.5585231
0.2889062,0.5211073,0.4890095,0.5082362,0.5738492
0.2915116,0.5394548,0.4838242,0.4987533,0.5528962
0.2788198,0.551503,0.4826119,0.5114319,0.5790524
0.2755284,0.5319139,0.5168595,0.486963,0.5738675
0.2719252,0.5764682,0.5528707,0.4797344,0.5779486
0.2851899,0.5448747,0.5329142,0.4951883,0.565105
0.276518,0.5171016,0.5188827,0.4896838,0.5560147
0.2935793,0.514306,0.5079837,0.4902051,0.5607868
0.282627,0.5139112,0.5415193,0.502009,0.5463542
0.285762,0.5186837,0.5226985,0.5134976,0.5350271
0.2851878,0.5306768,0.5268822,0.5048585,0.5464817
0.2800254,0.5251894,0.5362438,0.5081429,0.570138
0.3001481,0.5281324,0.519473,0.4865496,0.604598
0.2926411,0.5247919,0.502332,0.5099097,0.600159
0.2892408,0.5116975,0.5195611,0.5188823,0.5786709
0.296287,0.5205539,0.537784,0.5524523,0.57375
0.2815849,0.5146339,0.5118983,0.540031,0.5601872
0.287613,0.5000818,0.5212232,0.5219345,0.578984
0.2860537,0.5178999,0.5033238,0.5214661,0.5679138
0.2779734,0.5084823,0.5001948,0.5415648,0.5831881
0.2894256,0.5025775,0.5488248,0.5434079,0.5734851
0.2974294,0.5023297,0.5438335,0.5428565,0.5718772
