Delta-AY.119,Isolate 1,Isolate 2,Isolate 3,Isolate 4
0.2384011,0.2519739,0.2119191,0.2926936,0.2168903
0.2514396,0.245218,0.2141232,0.2871195,0.224856
0.2424374,0.2542022,0.2193443,0.3120248,0.2256862
0.2504627,0.2595069,0.2163243,0.2932732,0.2243808
0.2371138,0.262793,0.1983577,0.2990487,0.2245881
0.2497692,0.2648223,0.2001761,0.2872827,0.2158071
0.2510846,0.2540201,0.203517,0.2806602,0.1973024
0.2703201,0.2573675,0.2023225,0.2680145,0.2132045
0.2527412,0.2481501,0.2163775,0.275265,0.2147274
0.2460349,0.2555146,0.2130186,0.2806861,0.2178154
0.2476335,0.2430497,0.2069941,0.2855643,0.2276988
0.2406268,0.255064,0.2117562,0.2795204,0.2349022
0.2520652,0.2488396,0.213731,0.2957409,0.2400829
0.2450469,0.2523356,0.2102778,0.2731792,0.2389534
0.2244918,0.2548945,0.2090522,0.2722676,0.2217072
0.2203429,0.2503634,0.2259949,0.2812771,0.2229491
0.213524,0.2397152,0.2188713,0.2701346,0.2288816
0.2235869,0.2513895,0.2262081,0.2552586,0.2223483
0.2469386,0.2342969,0.2393523,0.261563,0.2197818
0.2436655,0.2457635,0.2250048,0.2575087,0.2251388
0.2421231,0.2517653,0.2346167,0.2498863,0.2100789
0.2236597,0.2705292,0.2340863,0.2572329,0.2259686
0.2091977,0.2547607,0.2257059,0.2325605,0.2333346
0.221357,0.2520483,0.2136196,0.2480998,0.2207357
0.2218304,0.268055,0.2176977,0.2440086,0.2118971
0.2310361,0.2618681,0.2121083,0.2476141,0.2151031
0.2243544,0.2462743,0.2257481,0.2462997,0.2275212
0.2226107,0.2500573,0.2246002,0.248218,0.2359928
0.2269826,0.2593787,0.231676,0.2586706,0.2271334
0.2280564,0.2572336,0.2398428,0.265433,0.2340101
0.2322905,0.2501753,0.2352961,0.2523095,0.2306079
0.2487705,0.2474779,0.2356291,0.2439782,0.2216522
0.2189313,0.2571298,0.2291188,0.2480938,0.2268703
0.2346447,0.2605655,0.2154865,0.2411324,0.2427479
0.2239368,0.2500031,0.2146168,0.2381629,0.2235103
0.2196632,0.247711,0.2114937,0.2087068,0.2495543
0.217162,0.257773,0.2269846,0.2240613,0.2245447
0.2318166,0.263997,0.2320923,0.2268742,0.2413521
0.2449151,0.2764691,0.2273251,0.2296931,0.2383433
0.2408414,0.2588828,0.2218613,0.2223228,0.2445775
0.2461708,0.2546994,0.2268857,0.2275605,0.2420122
0.2495129,0.2557141,0.2234746,0.2300168,0.2376104
0.2623267,0.2503071,0.2252391,0.229837,0.2329149
0.2597497,0.2598814,0.2216675,0.2341237,0.2499611
0.2654487,0.2580329,0.2186822,0.228862,0.2401833
0.255904,0.249506,0.2259535,0.2280964,0.2325849
0.2506297,0.2436368,0.2191478,0.2303948,0.2346248
0.2452823,0.2529768,0.2220499,0.2336369,0.2285703
0.2291213,0.2540464,0.2146021,0.2331954,0.2337977
0.2439009,0.2556968,0.2185213,0.2377008,0.2209769
0.2408448,0.2617383,0.2235418,0.2327009,0.2421887
0.2354046,0.2687943,0.2190254,0.2309955,0.2339279
0.2442202,0.2482364,0.2208973,0.2401267,0.2439851
0.2458574,0.2462281,0.2062317,0.2370378,0.2279363
0.2359809,0.2457346,0.2341871,0.2387789,0.2268877
0.237904,0.243262,0.2175816,0.2323122,0.218299
0.2377697,0.2579549,0.2268296,0.2425663,0.2197214
0.2360014,0.249327,0.2320461,0.2486264,0.2431623
0.2394084,0.2737778,0.2318432,0.2440703,0.2354729
0.2557345,0.2557642,0.2285906,0.2322565,0.2322532
0.2406315,0.2724006,0.228151,0.2417693,0.2401192
0.2405839,0.2687477,0.2450135,0.2372451,0.2170461
0.2453918,0.2631455,0.2361697,0.2458988,0.2203664
0.2459503,0.257766,0.2198181,0.2370491,0.2383266
0.2756696,0.2612008,0.2208197,0.2546143,0.2308457
0.2440188,0.2538426,0.2299998,0.2480862,0.2338056
0.2396719,0.2565252,0.2248607,0.2525793,0.2410568
0.2440086,0.2668238,0.2365696,0.2335493,0.2327285
0.2371165,0.2587412,0.2243599,0.245979,0.2335483
0.2522919,0.2593161,0.2228442,0.239946,0.243476
0.2431642,0.269136,0.2220827,0.2430466,0.2459224
0.2303624,0.28218,0.2349223,0.248821,0.2362972
0.2293343,0.2924885,0.2367977,0.2376926,0.2344915
0.2307274,0.2875724,0.2335078,0.2416939,0.2235554
0.2426056,0.273917,0.2353218,0.2399996,0.2316438
0.2485922,0.2660389,0.2347925,0.2337658,0.2472619
0.2576208,0.288226,0.2294738,0.2383346,0.2318915
0.2485845,0.2649099,0.246833,0.2391496,0.2317726
