Delta-AY.119,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10
0.3310287,0.4870668,0.5727668,0.5098697,0.4313739,0.3825586,0.4797104,0.4846588,0.4965596,0.4727977,0.4533766
0.3397215,0.4721222,0.5708478,0.528263,0.4514871,0.3876782,0.4921909,0.4547329,0.5117388,0.4680487,0.4670053
0.3454421,0.4564444,0.5873143,0.5456514,0.4606063,0.3832948,0.5055418,0.4552893,0.5324832,0.4725546,0.4668828
0.3315962,0.4463524,0.6211929,0.5358062,0.4396513,0.389553,0.5313023,0.4431075,0.5477285,0.4675348,0.4681188
0.3353626,0.4230713,0.641005,0.5292451,0.4192099,0.4195672,0.5323771,0.4236606,0.5430285,0.485467,0.4848977
0.3504671,0.4270968,0.6545964,0.5232693,0.4070105,0.4422233,0.5279522,0.4470516,0.561842,0.489854,0.4938281
0.3502938,0.4185538,0.6647996,0.5228834,0.4189863,0.4557051,0.5389484,0.4568108,0.5503936,0.4842248,0.5110323
0.3391676,0.4173636,0.6560028,0.5311841,0.4044089,0.4435468,0.5340312,0.457705,0.5644268,0.4850715,0.5110732
0.3198944,0.429745,0.6370723,0.5492129,0.4099399,0.4467881,0.5078425,0.4557602,0.5578412,0.4790801,0.5148828
0.3034892,0.4471171,0.6012017,0.5444582,0.4069953,0.4436609,0.5174335,0.451928,0.5553828,0.4730041,0.5218101
0.3060342,0.4267017,0.5876415,0.5367641,0.4085567,0.4221219,0.5260119,0.4570799,0.5376303,0.448756,0.5296067
0.3131732,0.4366354,0.5810977,0.5307246,0.4113562,0.4120216,0.5209769,0.462738,0.5183452,0.4395804,0.5319797
0.3107066,0.4432199,0.6047887,0.5461903,0.4038416,0.383619,0.5105099,0.4449418,0.523257,0.4378116,0.5441471
0.3198999,0.4446693,0.6049333,0.5575682,0.4152212,0.3606845,0.5290488,0.4488005,0.5260578,0.4230489,0.5388441
0.3145716,0.4486472,0.603448,0.5471274,0.4321634,0.3757606,0.5123014,0.4385383,0.5137483,0.4226598,0.5139058
0.3111908,0.4461958,0.6166123,0.5085668,0.441514,0.376348,0.4983608,0.4126065,0.5043959,0.4198916,0.5140601
0.3090369,0.4432621,0.623358,0.49445,0.4579219,0.3950654,0.5086392,0.4018326,0.5156323,0.4287549,0.5065076
0.3088512,0.4661398,0.6099486,0.4915446,0.4518211,0.4090376,0.5088733,0.4192565,0.5414766,0.4224023,0.5031313
0.3108635,0.4823184,0.6182022,0.490244,0.4660975,0.4226253,0.4889573,0.4134409,0.5346922,0.404758,0.4758358
0.3199494,0.4892061,0.6154641,0.4935187,0.4659757,0.4252446,0.4917679,0.4358076,0.5302573,0.3984765,0.4817608
0.3207334,0.4848932,0.6058316,0.5236651,0.4666993,0.4194715,0.4945765,0.4475553,0.5549893,0.4018418,0.4895166
0.3227794,0.4998592,0.5973232,0.5226442,0.4930893,0.4363567,0.5026747,0.4378365,0.5606757,0.3984585,0.4771772
0.32522,0.5101512,0.579522,0.5346535,0.4926853,0.4244685,0.5031155,0.4222194,0.5484706,0.4210001,0.4699553
0.3267905,0.5279283,0.5779268,0.5472803,0.4702466,0.4127735,0.5101048,0.4143642,0.5599107,0.4425435,0.4694893
0.3195713,0.539194,0.5470681,0.5520899,0.4709577,0.4175267,0.5243069,0.4282295,0.5596558,0.4493325,0.47012
0.3166936,0.5505798,0.5556151,0.5528054,0.4722328,0.4378566,0.5403071,0.4199129,0.5545748,0.4575329,0.4802956
0.3143205,0.5685823,0.5489517,0.543004,0.4807293,0.4609931,0.5270743,0.4195133,0.5569821,0.4620808,0.5161272
0.3048507,0.61107,0.534808,0.5469372,0.4906642,0.4673566,0.5232995,0.4324196,0.5550447,0.4446475,0.5328296
0.3014277,0.6286039,0.5334058,0.5425131,0.4987935,0.473797,0.5452253,0.4305882,0.5221583,0.4605361,0.5299492
0.2982676,0.6416308,0.5364583,0.535879,0.4880829,0.468633,0.5324777,0.4438019,0.5117413,0.4744523,0.5537935
0.3105729,0.6717704,0.5370535,0.5538369,0.5096259,0.4447822,0.5405136,0.4418263,0.5025802,0.4804879,0.5412233
0.309854,0.6955002,0.5520246,0.5598181,0.5128796,0.4275523,0.5307526,0.4500368,0.5132269,0.4691113,0.5383247
0.3093177,0.725335,0.5450372,0.5530961,0.5189553,0.4158212,0.5469632,0.4359092,0.5212995,0.4753562,0.5623862
0.3137647,0.7498893,0.526492,0.5572737,0.5450019,0.41244,0.5325822,0.4347011,0.5225821,0.4814343,0.5636719
0.3241857,0.7818754,0.5360007,0.5670491,0.550562,0.4321618,0.5148275,0.4235848,0.5079005,0.4910178,0.5596802
0.3264134,0.7862577,0.5472001,0.5760575,0.5585998,0.431044,0.5257797,0.4199119,0.5283576,0.5023646,0.5515498
0.3054003,0.7711328,0.5326406,0.579229,0.5646024,0.4403398,0.5551501,0.4258913,0.5194411,0.5087413,0.5568585
0.3195152,0.7711762,0.5485908,0.572049,0.5600649,0.4622571,0.578496,0.4342081,0.5241725,0.491024,0.5655734
0.3289355,0.7736198,0.5357319,0.5813375,0.5406511,0.4612459,0.5798994,0.4356304,0.5500788,0.4874553,0.5602972
0.3340745,0.7856262,0.5316858,0.5724999,0.5536318,0.4689069,0.6209525,0.4315989,0.5760179,0.465858,0.5319216
0.3465071,0.7870355,0.5481478,0.5834796,0.5702151,0.461081,0.661208,0.4286291,0.5976904,0.4375072,0.5111241
