Delta-AY.119,Isolate 1,Isolate 2,Isolate 3,Isolate 4
0.4212825,0.6294866,0.7817751,0.957149,0.5970412
0.4198058,0.6095665,0.7758649,0.9565688,0.5905727
0.4107463,0.6118437,0.7762669,0.9586726,0.5607396
0.4049971,0.6149811,0.7780777,0.9670614,0.548331
0.4175985,0.6177757,0.779389,0.982026,0.5532188
0.4451266,0.622294,0.7852492,0.9822404,0.5639436
0.4437414,0.62348,0.7755243,1.0074211,0.5805983
0.4459799,0.5887102,0.770062,0.9901257,0.5908889
0.4305508,0.5620953,0.7854608,0.954721,0.5864601
0.4414445,0.5453224,0.7877761,0.9468387,0.5995843
0.4501472,0.5451003,0.7823852,0.9513094,0.6244313
0.4490635,0.5383232,0.7746641,0.9717516,0.6338999
0.4670602,0.5392432,0.7408024,0.9744185,0.6379599
0.4742567,0.5353803,0.7332649,0.9778055,0.6225684
0.4870435,0.5304131,0.758113,0.9696068,0.6236276
0.5025471,0.5173975,0.7678892,0.9599409,0.6359458
0.4949141,0.5208312,0.7546389,0.9630008,0.6437973
0.4938895,0.5159963,0.74785,0.9626742,0.6523817
0.491981,0.4958175,0.7325445,0.9596025,0.6492103
0.4919084,0.5083733,0.7063906,0.9434083,0.6415356
0.4848424,0.5064437,0.6876464,0.9365334,0.634182
0.482226,0.516566,0.6877609,0.9524873,0.6299123
0.4716843,0.5104637,0.7029313,0.9568158,0.6253623
0.4670602,0.5327458,0.7156845,0.9767808,0.6322694
0.469119,0.556515,0.7232149,0.9614727,0.6530633
0.4744866,0.5634317,0.7417467,0.9535598,0.6718577
0.4650344,0.5727775,0.7278168,0.9547875,0.7016266
0.4649136,0.5792797,0.7249479,0.9297864,0.7127061
0.4769093,0.5905334,0.7315912,0.925507,0.7203356
0.4785841,0.5919995,0.7327259,0.9426073,0.7319539
0.4800221,0.5655386,0.7440512,0.9433736,0.7558741
0.466935,0.5573134,0.736731,0.9595534,0.7763257
0.4660918,0.5613954,0.7537243,0.9542984,0.7803583
0.4669929,0.5414634,0.7708173,0.9591361,0.7988337
0.4546769,0.5415286,0.790693,0.9546631,0.8041605
0.4562957,0.5394803,0.7851251,0.9389661,0.8352701
