Delta-AY.119,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10
0.2631544,0.3944224,0.4223403,0.4733411,0.4080482,0.3958891,0.4902347,0.4662648,0.4635686,0.3969187,0.500156
0.2898501,0.3915457,0.4329664,0.4623619,0.4171292,0.3994818,0.4855591,0.4483856,0.4498828,0.4007492,0.4856026
0.2889745,0.3966,0.4237243,0.4750115,0.4276414,0.3908912,0.4847064,0.4820465,0.4392726,0.4043613,0.4907856
0.2951353,0.4022546,0.4353814,0.4571427,0.424634,0.3955252,0.5034497,0.4800825,0.4333461,0.3963299,0.5159972
0.2924002,0.3957247,0.4436839,0.4700271,0.4125401,0.4033726,0.4986102,0.4639991,0.4207391,0.4160136,0.5399682
0.3069782,0.4230193,0.4607311,0.442894,0.3964482,0.4195277,0.4831699,0.462477,0.4300358,0.4215047,0.5346088
0.2974336,0.4168108,0.4706358,0.4355236,0.3862191,0.423876,0.5068614,0.4736672,0.3964776,0.419795,0.5506089
0.292516,0.4152253,0.4454012,0.4411423,0.3967277,0.4343897,0.5093032,0.4957678,0.4086738,0.4280137,0.5584496
0.2901773,0.4339477,0.4341554,0.4380888,0.417142,0.4202137,0.5148133,0.4812624,0.4060102,0.4236826,0.5477153
0.292187,0.4529471,0.4434444,0.4287242,0.406288,0.427444,0.531339,0.4768506,0.4011963,0.4200129,0.5099307
0.2885697,0.4239586,0.4126171,0.4248991,0.4341334,0.4277435,0.541714,0.5083332,0.4056784,0.4229218,0.5211161
0.2795765,0.411301,0.3950498,0.4052089,0.4342174,0.4308744,0.5241071,0.5113357,0.4025306,0.4306442,0.5327302
0.2607552,0.4144794,0.3922163,0.4077034,0.4357052,0.4336484,0.5086244,0.4981043,0.4121635,0.4300792,0.5467421
0.2739276,0.3913624,0.398577,0.416489,0.4394796,0.4393069,0.5285572,0.5074286,0.4107588,0.4288932,0.5540261
0.2711723,0.4108622,0.4273764,0.4154482,0.4409092,0.4276359,0.5431193,0.5050092,0.3858427,0.4096451,0.5434287
0.2814123,0.4119863,0.456893,0.3923563,0.4464524,0.4256979,0.5316461,0.5037585,0.3940347,0.4145941,0.5434435
0.2845926,0.4380579,0.4638674,0.3933683,0.439054,0.4398831,0.5358238,0.5084568,0.4217307,0.4147193,0.5366783
0.277942,0.4511449,0.4763047,0.384818,0.4317105,0.4231416,0.5233034,0.5187806,0.4428353,0.413735,0.5491838
0.2842615,0.4504335,0.4669392,0.4226881,0.4317453,0.4485784,0.5182632,0.4975526,0.4427559,0.3989433,0.5227842
0.2738048,0.4259799,0.474454,0.4453319,0.4140426,0.4501756,0.5179734,0.523424,0.4533156,0.4205759,0.5172132
0.2617583,0.4128992,0.4758456,0.4484629,0.4048371,0.4429537,0.5178685,0.5232257,0.4680199,0.4092834,0.5370539
0.2671655,0.4004575,0.4661607,0.4382206,0.4216802,0.4512883,0.529622,0.5313672,0.4885105,0.3871795,0.5378124
0.2649157,0.3984238,0.4746679,0.4459839,0.4064458,0.4582613,0.5176883,0.5174796,0.502721,0.3944983,0.5447016
0.2609456,0.4013104,0.5005934,0.4590606,0.4276292,0.4553881,0.5113679,0.5255658,0.4946524,0.4036472,0.5200469
0.2604436,0.4035378,0.4712686,0.4672689,0.4249244,0.4506246,0.525108,0.5489621,0.5045066,0.4092049,0.5240212
